production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,imdb_score
85000000,250649836,1998,2.35,140,11951,7.3
85000000,191932158,2006,1.85,83,6081,6.2
85000000,153487972,2011,2.35,104,3768,6.2
85000000,66941559,2000,1.85,100,4182,4.8
85000000,173613482,2012,1.85,106,11454,5.6
85000000,205190324,2006,1.85,138,17423,6.9
85000000,157794205,2006,2.35,104,1235,6
85000000,161510853,2005,2.35,145,2380,7.3
85000000,96971293,2001,2.35,131,5103,7.6
85000000,137298489,1993,2.35,130,2407,6.2
85000000,80831893,2003,2.35,104,16930,6.7
85000000,149717124,2011,1.85,97,2707,7.1
85000000,114979922,2010,1.85,82,3326,4.3
85000000,44650003,1998,1.85,178,23950,7.1
85000000,78353508,2002,1.85,108,1460,5.5
85000000,83080084,2007,2.35,162,36928,7.7
85000000,48056764,2010,1.85,112,12687,7.5
85000000,74132631,2003,2.35,135,1439,5.4
84000000,276294164,2002,1.85,86,6355,4.9
84000000,166307945,2000,1.85,109,2818,4.3
84000000,137162560,2013,2.35,116,25220,6.7
82500000,237685089,2006,1.85,107,12700,6.4
82500000,143985708,2006,1.85,97,23907,6.4
82500000,223636949,2008,2.35,88,21863,6.1
82500000,160388063,2008,1.85,120,3632,7
82000000,190320568,2005,2.35,113,13693,6.4
82000000,268268174,2010,2.35,113,46355,6.5
82000000,96024898,2000,2.35,123,5839,5.9
81000000,483473962,2003,1.85,101,21276,6.7
80000000,677923379,2012,2.35,142,49942,7.3
80000000,586464305,2011,2.35,102,16143,6.5
80000000,470909901,2015,1.85,89,26839,6.7
80000000,266824291,1992,1.85,126,2899,7
80000000,343397247,2006,1.85,83,22813,6.8
80000000,245800000,2002,1.66,85,3112,7.2
80000000,349464664,1998,2.35,120,22750,6.1
80000000,247023808,2013,1.85,101,39269,5.4
80000000,349088523,2011,1.85,87,4073,4.4
80000000,226739416,2008,1.85,110,44798,6.5
80000000,260700012,2005,1.85,91,1804,6.3
80000000,299461782,2010,2.35,138,29585,8.1
80000000,266685242,2003,1.85,128,22679,6.7
80000000,168311558,2008,1.85,88,9913,5.6
80000000,241200000,1997,2.35,138,17087,7.3
80000000,221468935,2008,2.35,99,12831,6.1
80000000,183354514,2002,2.35,117,16828,7.7
80000000,214974953,2011,1.85,117,16325,6.4
80000000,178066569,2008,2.35,118,5637,6.6
80000000,224117573,1997,2.35,123,15362,6.8
80000000,204774690,2010,1.85,80,4394,4.6
80000000,165173909,2003,2.35,154,61110,7.2
80000000,158750817,2010,2.35,118,44797,6.9
80000000,177993801,1997,1.85,90,50005,5.2
80000000,250200000,1996,1.77,88,15001,6.3
80000000,211755593,2014,2.35,134,20411,7.6
80000000,158926474,2006,1.85,93,1267,5.6
80000000,170805525,2011,2.35,102,5392,5.2
80000000,142783718,1997,2.35,135,8355,6.7
80000000,164800000,1998,2.35,98,12729,5.7
80000000,106515310,2002,2.35,83,14261,7
80000000,147080413,2001,2.35,99,25942,6.5
80000000,136047317,1998,2.35,130,12186,5.1
80000000,96148711,2004,1.85,129,20056,6.6
80000000,60507228,1999,1.78,74,814,7.3
80000000,98983590,2002,2.35,96,1919,5.9
80000000,71485043,1998,2.35,113,49631,7
80000000,50632037,1998,1.85,114,10731,5.6
80000000,141475336,2005,2.35,129,2864,5.9
80000000,58270391,2000,1.85,90,25190,5.3
80000000,105299638,2005,1.85,118,27114,5.9
80000000,101371017,1996,2.35,106,22590,6.3
80000000,130580730,2013,2.35,87,1971,5.2
80000000,66554547,2000,1.85,145,1825,7.3
80000000,158908290,1996,1.85,114,25126,5.8
80000000,131234406,2015,2.35,106,16922,6
80000000,108469033,2014,2.35,105,1099,5.6
80000000,54540662,2003,2.35,91,5593,5.7
80000000,53508858,2009,2.35,118,619,5.8
80000000,26703184,2003,2.35,116,43887,5.6
80000000,86787530,2009,2.35,104,152,7.8
80000000,69131860,1998,1.85,97,2521,5.8
80000000,20841123,1997,2.35,177,4346,6
80000000,33463969,2000,2.35,106,2,5.7
80000000,40147042,2007,1.85,99,2323,5.9
80000000,6300451,2005,2.35,102,1890,4.2
79300000,987480140,1994,1.66,73,6458,8.5
79000000,318146162,2012,1.85,94,27842,5.8
79000000,150519217,2011,1.85,91,27405,3.4
78000000,317668058,2001,1.85,135,2827,8.2
78000000,274392649,2013,2.35,95,848,6.5
78000000,206455420,2002,2.35,124,35867,7.2
78000000,107336658,2004,2.35,136,36925,6.7
78000000,179265204,2003,2.35,110,4714,5.8
78000000,43957541,2004,2,125,1970,5.1
77500000,90226482,2015,2.35,108,30230,7.8
76000000,974873764,2013,1.85,98,11905,7.5
76000000,69853395,2006,1.85,109,16479,7.9
76000000,35129610,2000,1.85,92,28050,4.1
75000000,514103326,2016,1.85,87,4782,6.8
75000000,817400878,1996,2.35,154,16785,6.9
75000000,618638999,1997,1.85,129,1635,6.5
75000000,651899282,2006,1.85,115,1815,6.9
75000000,556559566,2005,1.85,86,1777,6.9
75000000,272223430,2010,1.85,102,28497,6
75000000,371917043,2004,1.85,90,63165,6
75000000,296339717,2000,2.35,104,21397,7.4
75000000,342416460,2008,2.35,110,25763,6.7
75000000,336069511,1996,2.35,136,15999,7.4
75000000,196324496,2004,2.35,99,12952,6.8
75000000,202871849,2007,2.35,117,1673,6.7
75000000,351723989,2013,2.35,125,13312,7.3
75000000,155708695,2006,2.35,130,2856,6.5
75000000,97387965,1999,1.85,110,5320,4.1
75000000,211562435,2011,1.85,110,16691,6.1
75000000,218673959,2004,1.85,128,16199,7.3
75000000,221594911,2015,2.126976154,77,2044,4.8
75000000,141267370,2006,2.35,91,17299,6.6
75000000,118230763,2009,1.85,100,5174,5.4
75000000,213500000,2000,1.85,124,3424,5.9
75000000,119512771,2007,1.85,102,60646,7.1
75000000,94944017,2005,2.4,118,15889,5.7
75000000,131492772,2005,2.35,163,2529,7.6
75000000,95572749,2010,2.35,100,25206,5.4
75000000,105445109,2015,2.35,116,15735,7.3
